pdbId,AAA,AEE,DAL,DEI,DII,DN,EF,FI,FR,GM,HG,HP,II,LRE,LVL,MD,MF,MN,NE,NR,NV,NY,RM,YI,label
1MXI:A,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
1NNF:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1NO5:A,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1NO5:B,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1NQZ:A,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1NRI:A,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,1,0
1NTH:A,0,0,0,1,1,0,3,1,1,3,0,0,1,0,0,1,0,0,1,0,3,1,1,0,0
1O60:A,0,0,0,0,1,1,0,0,0,2,0,1,3,0,0,0,0,1,0,1,2,0,0,0,0
1O60:B,0,0,0,0,1,1,0,0,0,2,0,1,3,0,0,0,0,1,0,1,2,0,0,0,0
1O60:C,0,0,0,0,1,1,0,0,0,2,0,1,3,0,0,0,0,1,0,1,2,0,0,0,0
1O60:D,0,0,0,0,1,1,0,0,0,2,0,1,3,0,0,0,0,1,0,1,2,0,0,0,0
1O6S:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,0,0,0
1O6S:B,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1OU9:A,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1OU9:B,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1OU9:C,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1OZQ:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1P0D:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1P5V:A,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,2,0,0,1,0
1P5V:B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1PG6:A,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,1,0,0,1,1,0,1,1,0
1PXG:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1Q63:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1Q66:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1Q98:A,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1Q98:B,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1QW0:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1QZ0:A,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0
1QZ0:B,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0
1QZ0:C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1QZ0:D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1QZ0:E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1QZ0:F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1R0M:A,0,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0
1R0M:B,0,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0
1R0M:C,0,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0
1R0M:D,0,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0
1R5Y:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1RVK:A,0,0,1,0,0,2,0,1,1,1,1,2,1,0,0,3,0,1,0,1,0,0,0,0,0
1S38:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1SE8:A,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,3,0,2,1,2,1,0
1SGJ:A,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1SGJ:B,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1SGJ:C,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1SJY:A,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1SOI:A,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1SSQ:A,0,0,0,0,0,0,0,1,0,1,1,2,2,1,0,0,1,3,1,1,0,0,0,0,0
1SSQ:D,0,0,0,0,0,0,0,1,0,1,1,2,2,1,0,0,1,3,1,1,0,0,0,0,0
1SU2:A,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1SU2:B,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1SZ3:A,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1SZ3:B,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1T0A:A,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1T0A:B,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1T0A:C,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1T82:A,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1T82:B,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1T82:C,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1T82:D,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1TV4:A,0,0,0,1,1,0,3,1,1,3,0,0,1,0,0,1,0,0,1,0,3,1,1,0,0
1UKF:A,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
1UQX:A,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1USP:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1USP:B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1VFR:A,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
1VFR:B,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
1VGX:A,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1VGX:B,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1VHC:A,1,0,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
1VHC:B,1,0,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
1VHC:C,1,0,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
1VHC:D,1,0,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
1VHC:E,1,0,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
1VHC:F,1,0,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
1VHY:A,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,3,0,0
1VHY:B,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,3,0,0
1VIC:A,0,1,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,1,2,0,2,0,0,0,0
1VIC:B,0,1,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,1,2,0,2,0,0,0,0
1VIO:A,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0
1VIO:B,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0
1VJE:A,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1VJE:B,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1VKI:A,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1VKI:B,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1W3O:A,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1W3P:A,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1W3Q:A,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1W3R:A,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1WOG:A,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
1WOG:B,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
1WOG:C,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
1WOG:D,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
1WOG:E,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
1WOG:F,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
1XF1:A,1,0,0,0,0,4,0,1,1,0,2,1,1,0,0,1,0,0,1,3,4,2,0,3,0
1XF1:B,1,0,0,0,0,4,0,1,1,0,2,1,1,0,0,1,0,0,1,3,4,2,0,3,0
1XFS:A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1XFS:B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1XKP:A,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1XKP:B,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1XKP:C,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,2,0,0,0,0
1XVB:A,1,0,2,2,0,0,0,3,1,3,1,2,0,0,0,0,0,0,2,2,0,2,2,1,0
1XVB:B,1,0,2,2,0,0,0,3,1,3,1,2,0,0,0,0,0,0,2,2,0,2,2,1,0
1XVB:C,0,1,1,0,0,1,3,2,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0
1XVB:D,0,1,1,0,0,1,3,2,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0
1XVB:E,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0
1XVB:F,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0
1Y5V:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1Y5W:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1Y67:A,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
1Y67:B,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
1Y67:C,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
1Y67:D,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
1Y9I:A,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,2,1,0,1,0
1Y9I:B,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,2,1,0,1,0
1Y9I:C,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,2,1,0,1,0
1Y9I:D,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,2,1,0,1,0
1YWM:A,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1YXY:A,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1YXY:B,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1Z0P:A,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1Z21:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1ZCE:A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0
1ZFJ:A,2,2,0,0,0,2,2,1,0,2,1,1,4,0,0,1,1,0,3,3,0,1,0,0,0
1ZHV:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ZPD:A,4,1,1,0,0,1,0,2,0,0,0,0,1,1,2,0,0,0,1,1,0,1,1,1,0
1ZPD:B,4,1,1,0,0,1,0,2,0,0,0,0,1,1,2,0,0,0,1,1,0,1,1,1,0
1ZPD:E,4,1,1,0,0,1,0,2,0,0,0,0,1,1,2,0,0,0,1,1,0,1,1,1,0
1ZPD:F,4,1,1,0,0,1,0,2,0,0,0,0,1,1,2,0,0,0,1,1,0,1,1,1,0
1ZW0:A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1ZW0:B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1ZW0:C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1ZW0:D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1ZW0:E,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1ZW0:F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1ZW0:G,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1ZW0:H,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2A3M:A,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2A6C:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A6C:B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A9S:A,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2A9S:B,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2AML:A,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0
2AML:B,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0
